minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
2.000000     5532.252197     1587.444439     512.478581    0.500000     461327.000000     132619.903024     41946.045455    a
7.656854     6123.011644     2011.980061     800.372144    3.000000     457745.000000     151356.441713     57293.625000    a
2.000000     5557.659272     1473.877503     453.366686    5.500000     459360.000000     122385.821760     35403.307692    a
7.656854     4634.868300     1724.120242     779.639810    3.000000     466895.500000     173999.592521     77820.583333    a
4.000000     4845.603361     1203.033524     347.034000    0.500000     461929.500000     115211.474119     30847.900000    a
3.414214     4270.358634     1277.030081     439.502768    1.500000     468537.500000     140559.233820     46859.800000    a
33.556349     5709.264392     1038.350643     216.517048    28.500000     452598.500000     82579.128650     15630.879310    a
5.414214     5087.049101     1079.250519     262.398569    1.500000     459734.500000     97896.199006     21929.666667    a
7.414214     5615.933438     1548.529348     480.435825    2.000000     460098.000000     127155.070155     38372.458333    a
4.000000     4259.003296     1403.326916     546.239373    1.000000     465761.000000     154030.728560     58234.000000    a
10.828427     10293.725951     1496.840670     257.671556    1.500000     425760.500000     62076.408073     9341.793478    a
5.414214     4771.093698     1366.933125     448.661588    1.500000     465572.500000     133838.185440     42339.000000    a
8.242641     4184.049978     1461.184368     604.919251    3.500000     467293.500000     163517.233365     66759.714286    a
4.828427     4694.047013     1239.717572     402.876327    1.000000     458708.000000     122207.106275     35370.423077    a
23.899495     6536.173112     1623.314046     463.725249    18.500000     434996.000000     108494.102685     29048.333333    a
27.071068     5217.693762     1631.609354     603.470318    36.500000     449298.000000     141180.262675     49980.000000    a
23.899495     5333.860281     1127.226735     299.639327    18.500000     435478.000000     92708.703243     20874.452381    a
4.000000     3670.702989     168.819849     44.335103    57.500000     19999.000000     799.420192     129.080465    a
18.828427     3063.132360     146.297774     41.644860    23.000000     15307.500000     644.888609     113.858463    a
0.000000     1702.025594     126.654119     42.956381    0.000000     8046.500000     508.093005     114.229036    a
6.000000     3988.977154     189.590882     46.368286    0.000000     27441.000000     1039.980758     146.478853    a
6.828427     10678.419379     1399.779906     204.828252    1.000000     423949.000000     55656.126497     7456.763158    a
2.000000     3204.369948     152.951213     42.999637    82.500000     16396.000000     696.035753     117.930826    a
3.414214     1649.155537     130.586269     42.908157    0.500000     8035.000000     551.693285     115.834469    a
2.000000     4023.119290     195.081901     45.576748    1.000000     27390.000000     1091.405858     153.335284    a
20.485281     1979.530208     157.471942     45.825222    19.000000     20645.500000     956.513908     156.411707    a
16.242641     1995.991104     148.272085     46.118518    12.500000     8613.000000     645.804413     130.649556    a
2.000000     1971.187062     166.793259     45.790868    91.500000     23209.500000     973.516504     153.847985    a
0.000000     1975.187062     160.336418     46.654519    0.000000     20646.500000     913.720458     150.324825    a
2.000000     1861.505823     152.192326     47.465948    10.000000     20690.000000     888.140259     146.923404    a
18.242641     3901.320303     185.623808     46.832854    21.500000     17115.000000     777.811405     138.130074    a
7.414214     1889.647958     145.850896     46.176253    126.000000     7143.500000     554.722952     124.638432    a
2.000000     7828.836231     954.506798     134.808596    83.500000     416457.500000     50870.353052     6327.696970    a
7.414214     1861.505823     138.861518     46.302230    0.000000     6322.000000     521.224645     119.056169    a
2.000000     15473.750998     1286.267988     143.163348    0.000000     368500.500000     30611.041483     2747.121528    a
2.000000     18611.881271     1339.301961     138.605192    36.500000     314653.500000     22610.913732     1828.904145    a
6.828427     19017.902689     1245.061660     123.587298    0.500000     293364.000000     19160.752892     1443.570513    a
4.000000     20578.146542     1339.825841     134.371714    1.000000     259139.000000     16896.989025     1381.591102    a
9.414214     17907.614247     1386.740733     159.626498    5.500000     304730.000000     23578.006863     2173.435294    a
4.828427     14566.783399     1233.779342     162.766864    0.500000     330139.000000     27843.640391     2778.471429    a
8.000000     19872.149505     1312.965874     136.110773    27.500000     288654.500000     19048.107185     1471.792576    a
2.000000     16142.819099     1122.201523     121.791661    5.500000     309892.500000     21512.479599     1731.299517    a
2.000000     19117.535161     1275.965930     127.882871    290380.000000     290380.000000     19345.647362     1510.942222    a
12.242641     9126.487153     1263.378370     194.447595    5.500000     418417.500000     58010.192087     8223.607843    a
2.000000     1225.994069     97.841494     37.851896    1.000000     5073.000000     366.272631     90.931615    a
2.000000     2789.551627     142.614828     43.402459    7.500000     22248.000000     966.558590     137.071272    a
2.000000     2782.965840     163.004870     48.002268    2.500000     22244.000000     1174.528104     173.082249    a
4.000000     2774.723200     179.351632     47.378851    0.000000     23639.500000     1474.627445     201.822999    a
4.000000     1182.052945     116.433513     42.815910    7.500000     13836.000000     693.500624     136.114849    a
2.828427     1558.545366     138.203373     47.469760    6.500000     22245.500000     1110.626781     181.529063    a
278.793937     1884.292621     147.218331     49.044943    1320.000000     22220.000000     1154.498500     186.441648    a
10.828427     2941.049102     179.973783     47.583569    1.000000     23629.500000     1446.622328     196.207483    a
2.000000     8960.488361     313.438430     45.586050    889.500000     132700.000000     4416.893929     232.165380    a
4.000000     21540.559875     1276.023486     106.727320    2.000000     326531.500000     19340.827416     1220.132042    a
9448.927837     9448.927837     1283.086424     197.822431    430844.500000     430844.500000     58617.014174     8151.273585    a
4.000000     12778.695966     395.796472     36.259353    163.500000     69589.000000     2133.114103     110.620465    a
2.000000     9622.249897     335.457540     38.892645    4.500000     74097.500000     2437.836008     148.451109    a
4.000000     8785.216286     353.198554     41.126189    165.000000     102396.500000     3482.540706     196.927445    a
6.000000     8303.173442     874.499189     129.116471    9803.000000     408597.500000     42827.434321     4680.188889    a
12.000000     10612.252861     1482.390612     241.589548    8.000000     426364.000000     59683.891070     8577.700000    a
4825.301846     4825.301846     1511.334974     550.874487    464018.000000     464018.000000     145819.289913     51578.777778    a
8.828427     9843.944207     900.952128     135.623981    3.000000     357200.000000     32206.634202     3118.401639    a
9.656854     6064.893896     1812.761328     627.433249    6.000000     470851.000000     141238.906003     47134.450000    b
105.455844     4367.204308     2130.874232     2236.330076    188.000000     463790.000000     231801.000000     231989.000000    b
15.071068     6427.268568     2377.109455     1113.067608    16.500000     434713.500000     161959.478745     72561.250000    b
2.000000     7914.860614     1641.380880     400.529618    1.000000     426728.500000     88838.111977     19637.954545    b
8.242641     5279.319090     2472.498217     1782.810596    1.500000     456272.500000     215055.221384     152138.500000    b
4.000000     7207.893014     1380.550323     314.393859    53.500000     431441.000000     82927.697959     16825.538462    b
4.828427     5644.983087     1555.992101     484.523296    1.000000     446967.000000     123530.769718     37261.791667    b
2.000000     4785.589082     1670.434572     693.947245    459103.500000     459103.500000     160651.038751     65590.428571    b
5786.203427     5786.203427     2149.670402     979.731199    460820.000000     460820.000000     171727.976481     76824.583333    b
5720.252198     5720.252198     1633.638462     555.933775    455168.000000     455168.000000     130814.833227     41495.909091    b
2.000000     4797.122258     533.413159     80.182472    4.500000     268409.500000     25541.573851     2966.933566    b
7344.461560     7344.461560     1884.359507     551.509839    432284.000000     432284.000000     111305.062666     30968.714286    b
2.000000     9542.155322     887.035326     108.428099    9.500000     374590.000000     34620.377579     3602.363248    b
0.000000     8760.428278     971.727088     128.364378    0.000000     433529.500000     48162.807579     5449.887500    b
6.242641     7444.892139     787.557117     112.838055    0.500000     387107.000000     40528.950924     4734.032967    b
2.000000     11397.945415     892.173616     86.509592    11.500000     404112.500000     31650.136573     2522.549383    b
2.000000     9404.369406     821.061630     83.301929    119.500000     432019.500000     37743.746281     3333.196154    b
7592.485943     7592.485943     764.902612     97.979294    425177.000000     425177.000000     42513.961352     4407.434343    b
4.828427     4462.168939     544.481346     81.652005    44.500000     274481.000000     27501.594750     3337.360465    b
6819.993523     6819.993523     902.563770     141.528059    441767.500000     441767.500000     58495.089287     7975.901786    b
2.000000     9834.883247     819.326899     80.433497    425529.500000     425529.500000     35458.531361     3003.472028    b
2.000000     10785.292403     1538.176074     244.767621    2.000000     402509.000000     57479.793308     8456.708333    b
6.000000     7005.768127     1340.744282     318.331072    3.500000     431809.500000     82980.982771     16954.769231    b
2.000000     8074.274828     1084.045055     200.032951    0.000000     355686.000000     46945.129833     7087.535088    b
2.000000     5924.405648     791.236796     172.399255    3045.500000     308943.500000     39057.565757     6241.015625    b
14.828427     3947.468368     722.873904     179.629161    2.500000     182930.000000     30240.232186     6700.422414    b
4.000000     3307.270323     580.067366     146.282232    94912.500000     178094.500000     26994.308194     5546.407143    b
2.000000     7986.375332     1532.391898     326.560240    2.000000     424563.500000     81636.210915     16383.942308    b
4.000000     8453.009889     1386.089681     254.503802    3.000000     425601.000000     69935.729098     11855.861111    b
171.254833     8929.381595     1004.153531     153.275076    795.000000     379489.000000     42679.963850     5064.711538    b
2.828427     7391.522521     994.821099     182.622013    0.000000     386908.500000     50805.458588     7148.473684    b
2.000000     5097.673554     808.237490     190.568696    0.000000     243101.000000     36474.776918     7137.425926    b
2.000000     5258.567997     700.285903     141.143019    3.500000     302705.500000     38924.522320     6227.961538    b
22.485281     3925.797233     897.931318     343.738659    8.000000     410317.000000     89208.870698     22570.575000    b
2.000000     8016.475842     1023.831476     156.648153    3.500000     412013.000000     52740.655765     6905.158333    b
2.000000     9988.969472     1236.847548     174.247558    399540.000000     399540.000000     49547.966323     6265.476563    b
8.828427     5184.654220     958.089485     210.065101    2.000000     453215.000000     84097.525690     16231.696429    b
8751.391699     8751.391699     1156.767283     175.716804    420748.000000     420748.000000     55717.437113     7536.589286    b
3.414214     8550.739898     1383.189672     254.320260    2.500000     430196.000000     69755.096896     11665.689189    b
2.000000     8702.639395     1468.221154     268.924003    5.000000     414876.500000     70094.656904     12213.382353    b
2.828427     7860.777355     1087.343889     188.439432    3.000000     422451.500000     58548.395821     8511.784314    b
7.414214     7452.669708     1160.305881     209.478369    1.500000     430687.500000     67235.981459     10799.112500    b
5788.582274     5788.582274     767.013816     154.626802    399144.500000     399144.500000     52381.504449     7410.464912    b
6.828427     4939.205515     748.581879     163.248292    1.000000     377655.500000     54931.075902     9274.627660    b
52.041630     3526.236711     892.574862     334.010027    76.500000     453215.500000     116536.878432     33075.714286    b
0.000000     8619.024169     1149.322247     179.440977    0.000000     412042.000000     55044.333293     7556.836364    b
10.242641     4309.198376     671.064867     161.537836    2.000000     223961.000000     32184.399002     6415.000000    b
4.000000     6219.077661     1095.146546     222.686313    1.500000     448925.500000     79312.478625     14513.290323    b
2.000000     21986.463544     1342.251418     123.012582    13.000000     364466.000000     22178.997094     1441.295539    b
2.000000     24138.028246     1410.094180     118.971511    333796.500000     333796.500000     19470.777719     1253.039249    b
21964.328550     21964.328550     1015.383647     92.171187    205921.500000     205921.500000     9398.366234     602.182828    b
2.000000     8772.463979     524.120658     70.379364    0.500000     91661.000000     4871.754642     445.412860    b
7.414214     21427.554820     1273.086085     128.607834    2.500000     338076.500000     19990.101426     1324.091228    b
4.000000     25029.554276     1138.033720     98.743159    3.000000     229137.000000     10382.661416     635.165644    b
15946.414115     15946.414115     789.111035     87.846069    144825.000000     144825.000000     7422.090666     638.175532    b
55.213203     5182.906966     1285.191346     378.778911    104.500000     449485.500000     112079.591682     30125.533333    b
2.000000     8798.748250     514.779764     73.946172    0.500000     91675.000000     4646.966417     445.648557    b
2.000000     8711.056903     576.748424     77.722327    0.500000     102126.000000     6208.612257     573.762626    b
2.000000     28322.520117     1506.017702     121.995513    12.500000     317211.500000     16856.678776     992.658640    b
2.000000     17727.957393     943.595747     94.515390    3.000000     265087.000000     13943.417229     953.205722    b
16555.648735     16555.648735     849.952936     85.514453    211563.000000     211563.000000     10877.945743     828.729630    b
2.000000     9584.676303     525.931026     70.971971    1.000000     110269.000000     6526.334439     582.383459    b
2.000000     4779.116325     315.876959     56.311337    1.000000     88010.500000     3892.424686     337.654778    b
2.000000     4461.954857     297.667608     52.974315    1.000000     69084.500000     3240.831966     288.867386    b
2352.459142     9301.857978     470.055211     65.421812    47588.000000     64311.500000     3931.510681     401.231788    b
2.000000     14618.478919     719.136165     77.316561    52.000000     150671.000000     6844.187437     492.086792    b
8.242641     6009.281635     2235.292021     1011.139664    1.500000     445600.000000     166059.466366     74279.750000    b
0.000000     27328.998253     1075.575071     78.914461    0.000000     185128.000000     7280.664047     391.068598    b
3.414214     15851.536917     835.968950     83.951747    25749.500000     264930.000000     13480.909476     850.779487    b
10.485281     19637.193221     1021.860963     94.530455    5.000000     194553.500000     9533.101913     632.889899    b
19.071068     20482.376110     934.569253     93.577082    18.500000     206601.000000     9313.437920     609.707415    b
9.656854     20643.589311     927.663480     77.775446    1.000000     230801.500000     10216.774885     566.764023    b
2.000000     23837.293183     1165.315433     106.185532    12800.000000     250665.500000     12171.698189     757.109412    b
3.414214     16556.369515     935.181110     155.217789    0.500000     137120.000000     7156.150303     728.670886    b
2.000000     21347.135556     1242.247393     155.078453    0.500000     194615.000000     11197.832880     975.619497    b
2.000000     23051.757043     1377.878202     137.275959    4.000000     292311.000000     17407.345993     1187.167260    b
2.000000     11863.679598     1016.971436     166.116171    287.000000     136909.500000     9746.040908     1104.852349    b
4.828427     5889.634888     1565.600228     466.424395    1.000000     445627.000000     118741.988096     34292.692308    b
5.414214     17178.587773     1107.724452     164.148725    1.500000     244377.500000     15213.076125     1280.326255    b
2.000000     16765.166420     1104.674204     157.649371    1.000000     280121.500000     18161.860060     1439.217300    b
5.414214     15521.113475     1072.556390     133.198569    1.500000     307708.500000     21083.790283     1641.391509    b
37.313708     12856.556794     1020.859415     159.244184    67.000000     353911.500000     27628.531283     2392.027607    b
21.414214     9644.415206     1194.672493     168.520417    1.500000     417835.000000     51814.331295     6578.343750    b
2.000000     15043.105125     1452.170425     167.416970    387297.500000     387297.500000     37434.876334     3706.500000    b
21.656854     11160.548447     711.171128     87.217366    13.000000     171731.500000     10626.648364     879.318323    b
2.000000     10916.693544     995.324530     123.397281    6.500000     390057.000000     35456.772941     3363.879167    b
4.828427     16811.845573     1156.838139     164.057985    2.000000     292930.000000     19759.750993     1618.054795    b
12.828427     9076.584692     1045.906837     159.998947    1.000000     391156.500000     44871.726121     5507.300000    b
4824.015488     4824.015488     1592.177428     611.537470    457281.500000     457281.500000     151229.562358     57165.687500    b
7.414214     9678.370610     983.971182     167.421030    2.500000     269242.000000     24267.648768     2783.774074    b
2.000000     17506.026370     1189.546536     154.925387    9.500000     282330.000000     18877.127658     1509.206278    b
10472.887418     10472.887418     909.121009     116.895540    354062.500000     354062.500000     30053.684559     2785.735507    b
2.000000     9185.326891     908.332531     150.665954    706.000000     263430.000000     22337.356689     2427.876623    b
2.000000     12232.503847     1154.813549     133.530402    5.000000     404400.500000     38206.449508     3694.698198    b
2.000000     8883.319753     952.443259     163.261600    26.000000     234631.500000     21297.703359     2515.143836    b
2.000000     13523.721226     1299.393102     153.933239    389872.000000     389872.000000     37508.660339     3699.588785    b
47.112698     11069.304926     494.926657     58.637705    94.000000     88641.500000     4408.298071     319.604579    c
15.656854     12727.382258     444.408520     55.958651    7.000000     158427.000000     5138.700709     280.462944    c
12.242641     6306.916524     225.144297     40.906130    3.500000     42988.500000     1429.832151     113.238127    c
2691.863249     11971.166970     357.295940     49.761366    18704.500000     117692.000000     3395.036935     189.382282    c
2.000000     16449.381710     744.424906     59.786807    253198.500000     253198.500000     11446.692623     664.379760    c
0.000000     21151.635119     845.595841     51.452130    0.000000     328055.000000     13101.051916     560.926518    c
82.426406     25123.018474     982.881722     58.598284    222.000000     278748.000000     10892.958709     471.759939    c
2.000000     15146.566353     544.903970     43.248626    243793.000000     243793.000000     8452.152408     369.550529    c
