minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
3.414214     546.357426     35.176717     23.579216     0.500000     2323.500000     109.494781     42.294803          a
2.000000     547.185853     37.289552     23.775944     1.000000     1598.000000     99.206799     42.091333          a
2.000000     522.357426     32.352946     22.469870     2.000000     972.500000     83.229789     37.849466          a
5.656854     307.036578     31.026574     23.112004     2.000000     972.500000     81.101566     38.938292          a
2.000000     439.404109     31.884267     22.253945     1.000000     1740.500000     90.823787     37.517003          a
5.656854     440.575682     32.687538     22.266904     2.000000     1743.500000     95.018064     37.445392          a
2.828427     576.641697     33.449921     22.212162     2.000000     1607.000000     96.619534     37.935383          a
2.000000     574.055910     33.225306     21.790794     4.000000     1608.500000     93.707048     36.593486          a
5.656854     575.470124     33.416117     22.516354     2.000000     1609.000000     93.273834     38.165889          a
2.000000     548.357426     35.180095     23.654702     1.000000     1742.000000     96.159118     39.895452          a
3.414214     367.747254     29.337448     18.150427     0.500000     1008.500000     73.867994     26.215712          a
3.414214     384.818322     31.028400     22.078800     0.500000     1005.000000     85.902174     36.748079          a
5.656854     386.232535     31.446222     22.552961     2.000000     1004.500000     86.194330     37.648859          a
5.656854     385.646749     30.783172     22.096068     0.000000     1002.000000     81.657940     36.035839          a
5.656854     390.575681     37.847135     26.267862     0.000000     1297.000000     125.245085     54.099024          a
5.656854     393.404108     35.178194     24.677950     2.000000     1226.500000     113.594395     48.804938          a
3.414214     603.712763     43.870858     27.514369     0.500000     3080.500000     166.656164     58.850575          a
5.656854     192.066015     15.144412     13.909334     2.000000     306.000000     24.561238     14.277248          a
2.000000     125.539104     13.702330     13.176534     16.500000     157.500000     20.104806     12.383498          a
2.000000     122.710677     14.020477     13.352539     0.000000     158.000000     19.859323     12.364780          a
2.000000     132.124890     14.788334     13.164461     0.000000     304.500000     25.311114     13.739989          a
3.414214     330.776691     26.870835     16.780738     0.500000     1008.500000     68.745263     23.811728          a
0.000000     129.296463     14.442645     13.650234     0.000000     213.500000     22.524494     13.549592          a
3.414214     128.468036     14.644475     13.504831     0.500000     212.500000     21.719500     12.990090          a
0.000000     132.124890     14.552263     13.086520     0.000000     304.500000     25.737599     13.907026          a
0.000000     154.710677     16.293728     14.387029     0.000000     296.500000     26.284086     14.791270          a
4.000000     154.710677     15.857684     14.106138     1.500000     263.000000     23.897449     13.803591          a
