id/name    minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
0    10.828427     120.325901     13.269383     14.441194     3.000000     197.500000     18.859900     13.159306          a
1    2.000000     113.740114     13.522078     14.651902     0.500000     184.000000     19.986269     13.884156          a
2    4.000000     161.095453     14.830468     15.178230     1.000000     588.500000     27.189303     14.987437          a
3    4.828427     112.911687     13.811379     14.798384     0.000000     166.000000     19.543736     13.753366          a
4    2.828427     161.095453     14.718032     15.297101     5.500000     587.500000     26.496088     15.196154          a
5    17.313708     161.681239     14.790250     14.978762     4.000000     589.000000     26.901792     14.936063          a
6    2.000000     159.681239     15.082218     15.537126     0.000000     592.000000     27.783424     15.446834          a
7    12.242641     161.095453     14.969482     15.460623     7.500000     588.500000     26.831626     14.799299          a
8    3.414214     161.681239     14.598985     15.330131     0.500000     589.000000     26.902026     15.163910          a
9    0.000000     101.012193     13.270515     14.585868     0.000000     170.500000     18.751348     13.773185          a
10    2.000000     82.183765     11.507059     14.150770     0.000000     129.500000     14.534632     12.100416          a
11    3.414214     161.095453     14.726001     15.075719     0.500000     587.500000     27.046288     14.890189          a
12    2.000000     159.681239     14.636448     14.984086     1.500000     592.000000     26.698310     14.748382          a
13    2.000000     103.982755     14.100690     15.051467     0.000000     263.500000     21.508777     14.249462          a
14    3.414214     376.575681     32.067247     21.075518     0.500000     716.500000     62.562834     26.284327          a
15    4.000000     338.776692     30.727872     20.129532     1.000000     832.500000     62.195615     25.002086          a
16    3.414214     376.575681     34.424003     21.929516     0.500000     774.000000     69.217097     28.416300          a
17    0.000000     24.142136     6.912836     6.263497     0.000000     33.000000     6.336528     3.456140          a
18    5.656854     26.384776     6.956259     4.950286     2.000000     21.500000     4.977856     2.703125          a
19    0.000000     15.313708     5.615557     3.376086     0.000000     13.500000     3.822045     1.944444          a
20    0.000000     26.970562     6.974711     6.328386     0.000000     32.000000     5.698449     3.254098          a
