minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
2.000000     3844.947388     136.776372     35.381028     2.000000     469320.500000     16269.374731     640.845969          a
4.000000     4173.037787     151.788341     36.542785     1.000000     466817.000000     16607.597455     671.719899          a
5.656854     3769.207271     142.017806     36.804807     2.000000     467182.500000     17002.787819     709.078912          a
4.000000     3648.856987     126.395628     30.755127     2.000000     470481.000000     15977.274033     601.660508          a
5.656854     3836.763620     137.008930     32.050007     2.000000     467389.000000     16253.146996     634.518765          a
5.656854     3528.413336     128.957070     30.710555     1.500000     471415.500000     16783.733033     665.529188          a
11.071068     3710.864127     136.380926     35.117365     8.500000     466574.500000     16538.700863     672.779245          a
4.000000     3856.805251     138.679050     33.922256     1.000000     468752.500000     16380.786944     651.965770          a
9.071068     3945.557557     144.262062     33.473528     5.500000     469246.000000     16727.668561     671.174936          a
5.656854     3590.070190     124.803729     28.597851     2.000000     469001.500000     16029.694444     600.719298          a
4.000000     4634.757689     161.199458     42.531136     0.500000     458710.000000     14647.525054     579.014796          a
5.656854     3644.673221     132.160018     31.569294     2.000000     470360.500000     16558.475923     653.918734          a
5.656854     3793.709799     137.129843     30.535597     2.000000     469760.000000     16630.393147     653.681932          a
5.656854     3873.859073     136.836313     29.688863     2.000000     462503.500000     16102.339089     614.395631          a
5.656854     4937.846004     309.072080     64.117908     2.000000     448806.000000     27568.873779     1902.793561          a
5.656854     4194.108857     278.218808     64.192253     2.000000     457009.500000     29256.540782     2097.244856          a
2.000000     4257.280427     269.911760     60.963540     2.000000     456977.500000     28230.969461     1951.241379          a
8.828427     16450.992759     417.514490     37.904137     5.000000     232792.000000     5623.343453     223.725797          a
22.242641     6295.100291     226.804131     31.371163     28.500000     78698.000000     2414.291760     166.683333          a
2.000000     6203.360176     244.419147     31.888733     8.000000     57399.500000     2116.997005     151.262214          a
4.000000     20361.266379     441.531935     30.976578     1.000000     294994.500000     6259.298046     191.651630          a
4.000000     4429.010435     151.698813     39.528733     1.000000     465294.500000     14609.309312     558.288955          a
6.000000     9947.865122     271.184702     32.796546     6.500000     165607.000000     3830.343585     182.111220          a
10.828427     6074.860615     225.334772     32.401487     5.000000     88518.500000     2559.764880     171.221696          a
2.000000     21116.722224     442.071718     29.915258     10.500000     366623.500000     7589.584487     206.212757          a
5.656854     12995.184214     331.437246     32.206028     2.000000     237579.500000     5363.025606     209.023966          a
5.656854     16403.897311     390.491664     32.774114     2.000000     200791.500000     4610.923307     189.920326          a
4.828427     14759.618968     318.599269     28.372658     1.000000     396504.500000     7927.831976     216.536823          a
10.000000     12751.042079     309.689178     30.662929     2.000000     253433.500000     5650.799765     227.443894          a
13.414214     12436.383137     309.280888     31.141287     3.500000     209929.000000     4951.823488     225.994247          a
3.414214     17592.362381     361.502852     28.514431     0.500000     363744.500000     7222.223457     198.854338          a
2.000000     14873.944871     370.235584     30.768538     0.500000     211641.000000     4901.967580     197.843582          a
