minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
5.414214     3819.148397     136.444850     34.686817     0.500000     469448.500000     16322.970667     642.084746          a
4.000000     4104.067225     150.596573     36.135057     1.000000     467078.000000     16755.287893     680.535438          a
5.656854     3703.508787     139.645641     36.042398     2.000000     467423.000000     17056.755784     710.677333          a
4.000000     3643.200133     126.872883     30.078999     2.000000     470563.000000     16044.997725     603.998254          a
5.656854     3814.136204     135.806063     31.066990     2.000000     467529.000000     16238.405704     630.783213          a
5.656854     3395.460017     123.673169     29.428511     2.000000     471816.000000     16703.036365     656.516311          a
5.656854     3629.266146     133.411126     34.199435     2.000000     466869.500000     16549.148091     670.902516          a
5.656854     3786.621485     136.908019     33.362037     2.000000     469051.000000     16492.172877     658.217203          a
5.656854     3918.687501     142.797109     32.405794     2.000000     469374.500000     16700.462629     666.334601          a
5.656854     3585.484404     125.431130     27.921978     2.000000     469091.000000     16117.725870     604.543144          a
5.414214     4604.473420     158.153152     41.605775     0.500000     458951.000000     14616.934045     572.208122          a
5.656854     3644.229570     131.771226     30.631400     2.000000     470452.000000     16551.450127     650.856258          a
5.656854     3636.513840     130.618875     29.168086     2.000000     470279.000000     16504.660143     641.311344          a
5.656854     3839.675309     136.198058     28.915510     2.000000     462664.000000     16156.989412     616.170330          a
5.656854     4876.248026     315.061249     67.301543     2.000000     449059.000000     28513.161848     2031.244939          a
5.656854     4171.866216     281.556934     65.564457     2.000000     457180.000000     29821.978679     2174.529915          a
5.656854     4174.025595     271.659252     63.345028     2.000000     457521.500000     29050.482039     2062.062753          a
2.828427     15811.740891     408.381478     38.731870     8.000000     240380.500000     5895.771603     236.853114          a
2.000000     6101.762196     231.341757     31.814948     2.500000     79175.000000     2494.357463     173.211239          a
2.000000     6110.306353     251.129661     32.967450     2.500000     58691.500000     2235.567460     162.126486          a
23.071068     22505.625015     485.671808     30.963992     4.500000     317702.000000     6792.724032     199.002729          a
5.414214     4405.211445     149.981660     38.326650     1.500000     465499.500000     14529.830296     548.929337          a
6.000000     9938.107764     273.109153     32.971961     6.500000     167631.500000     3913.413524     187.410812          a
390.977702     6016.292074     228.451800     33.605635     2096.500000     89735.500000     2673.163986     183.269792          a
2.000000     20095.255069     422.389121     29.517244     10.500000     372659.000000     7750.248965     209.685177          a
5.656854     14748.658513     360.200769     32.293059     2.000000     271070.500000     6120.010991     222.135666          a
5.656854     17315.894345     409.598611     32.747678     2.000000     213385.000000     4903.329141     195.551193          a
2.000000     14611.102163     308.311429     27.877841     6.000000     405436.000000     8115.998073     217.512990          a
10.828427     12660.047130     301.406846     30.729345     1.000000     292130.500000     6485.570455     241.564849          a
15.414214     12549.821735     312.773150     31.564084     3.500000     263658.500000     6072.331393     240.077056          a
3.414214     17948.261875     370.530751     28.498690     0.500000     379754.000000     7603.854608     203.929028          a
3.414214     11268.028675     344.258105     31.078195     0.500000     228092.500000     5427.652913     214.924919          a
2.000000     5654.252199     208.790363     43.100341     34.500000     436975.000000     15257.333893     647.704268          a
3.414214     10243.681355     319.819430     32.059495     0.500000     213862.500000     5235.627887     224.188247          a
2.000000     7641.387525     202.190634     34.374780     1.000000     444791.000000     11219.833897     354.327817          a
2.000000     7374.108306     223.288339     39.409813     411676.000000     411676.000000     11361.094907     410.214231          a
2.000000     11520.482430     338.306625     42.430399     413630.000000     413630.000000     11836.205794     432.185094          a
3.414214     12025.987045     376.116497     46.220001     65.500000     425252.000000     12772.364826     496.159152          a
2.000000     9368.158286     275.670932     40.595602     0.500000     439228.500000     12164.241725     430.019555          a
2.000000     7698.951015     208.806547     34.645810     4.000000     434236.000000     11240.593354     366.463831          a
10.828427     11751.543394     346.349379     42.543446     7.000000     421566.500000     12069.563127     441.835656          a
7.656854     11178.936190     326.374085     41.275722     4.000000     423286.500000     12019.202287     430.455645          a
5.656854     10557.323929     311.270639     41.746187     2.000000     428017.500000     12174.239805     443.722492          a
2.000000     6022.619728     193.492442     35.852608     2.000000     444561.000000     14134.922069     522.056174          a
10.828427     5038.170149     283.284323     48.792414     3.000000     89617.500000     3985.149925     376.968411          a
0.000000     12882.210687     419.202823     47.977147     0.000000     228929.000000     7258.667655     409.206166          a
2.000000     16846.629407     534.545166     50.096235     6.500000     262939.000000     8243.663493     401.907157          a
2.000000     11199.481555     392.903702     50.614515     3.000000     149793.000000     5065.406830     357.930339          a
5.656854     6178.014943     280.434383     47.139867     2.000000     116720.000000     4220.832206     371.678131          a
12.242641     6724.455628     281.496092     45.133259     2.000000     101434.000000     4015.680632     363.877323          a
31.313708     6071.019997     283.074130     46.482273     49.000000     86686.000000     4063.591910     354.277027          a
2.000000     13532.827996     458.762850     54.577006     2.000000     163279.000000     5532.640809     380.076961          a
4.000000     11922.150598     296.757271     35.899703     2.500000     345351.500000     8188.641821     281.202574          a
2.000000     7212.419925     213.111031     40.710465     10.000000     454946.500000     13008.650537     460.456219          a
5.656854     5603.642026     180.296441     38.010614     2.000000     454059.500000     14182.032369     524.645020          a
3.414214     10953.781860     294.394642     35.997779     388035.000000     388035.000000     9614.424342     327.082267          a
5.656854     14194.907085     334.199826     32.307291     1.000000     357763.000000     8318.051038     251.677568          a
16.242641     9796.481223     243.897492     31.894534     2.500000     412547.500000     9589.954365     297.428418          a
19.071068     5412.796353     175.342611     36.907408     12.500000     451586.000000     14054.321908     524.456395          a
16.242641     4407.956615     147.077851     38.997343     13.500000     467576.500000     14727.678033     562.259682          a
4.000000     4042.243850     128.731413     30.520661     1.000000     468420.000000     14489.982223     510.298372          a
11.656854     9002.778563     306.100340     48.172855     2.000000     418231.000000     13870.560603     581.367987          a
2.000000     5090.397300     350.179799     59.392237     477650.500000     477650.500000     30892.810450     2217.175732          b
5.656854     3732.621486     224.349242     39.491019     2.000000     467033.000000     27328.423599     1658.427835          b
5.656854     5924.501981     393.115419     56.617521     2.000000     440073.000000     28950.617364     1984.626087          b
4.000000     6550.717271     433.187016     56.691019     1.000000     443844.000000     29199.441008     1986.523913          b
13.656854     5052.299762     328.413010     49.714184     10.000000     459027.500000     29688.453611     1990.665966          b
3.414214     6571.888842     399.509786     51.385455     2.000000     445922.000000     27035.089248     1696.780443          b
5.656854     5542.029768     341.479875     45.973187     2.000000     450557.500000     27622.624913     1753.501887          b
5.656854     4422.184975     262.217993     38.125214     2.000000     462380.000000     27149.657482     1646.472318          b
5.656854     4785.890600     288.736231     41.227213     2.000000     466431.000000     28022.682023     1730.940217          b
2.000000     5276.723201     333.900523     45.735087     2.000000     460902.000000     29089.175416     1886.064000          b
5.656854     5901.499892     268.119958     33.631819     447945.500000     447945.500000     19721.398385     925.750485          b
5.656854     5965.590291     376.454025     54.011361     2.000000     441320.000000     27579.226626     1803.180392          b
62.041630     6450.845125     289.761174     33.944863     179.000000     449895.000000     19617.944887     907.835238          b
5.656854     6332.148728     221.951956     28.180424     1.500000     452507.000000     15099.953137     558.878062          b
2.000000     7769.480890     242.693320     26.051112     2.000000     445301.000000     13702.857341     465.950284          b
27.071068     7491.782409     215.474335     24.885320     22.500000     435889.500000     12324.177162     384.397600          b
5.414214     4386.334251     190.842834     27.135362     1.500000     465938.500000     18061.794940     751.330827          b
2.000000     4635.956614     210.033761     30.007160     2.000000     464363.500000     18839.749241     823.728995          b
0.000000     7198.606660     312.850495     31.958383     0.000000     445717.500000     19305.178204     867.469925          b
4460.566785     4460.566785     187.454100     27.821943     454398.000000     454398.000000     17676.406944     740.279545          b
3.414214     6169.496930     229.369471     26.389123     0.500000     448291.000000     16446.216619     641.388140          b
2.000000     6992.842161     257.635479     30.203775     0.500000     428128.500000     15571.243380     612.806623          b
2.000000     6646.717269     428.445204     54.927297     3.000000     449939.000000     28920.047601     1927.512448          b
5.656854     8259.473750     297.318671     29.189408     2.000000     414236.500000     14860.417004     568.525129          b
4.000000     4502.789215     177.763610     27.783076     2.000000     319080.500000     11698.133997     559.299359          b
5.414214     6117.244180     233.069468     26.332612     1.500000     318480.500000     12034.361327     559.069128          b
17.899495     5066.972982     191.495040     26.086442     14.500000     295680.000000     10977.375243     523.571340          b
5.656854     6065.205517     202.322343     25.707958     2.000000     438182.500000     14438.465060     512.458152          b
2.000000     6123.389281     192.878929     25.783187     2.000000     438503.000000     13623.517678     461.201449          b
2.000000     5150.570959     195.789395     27.227911     886.500000     413954.000000     14501.430381     576.401348          b
2.000000     5624.300968     208.472793     26.374569     2.000000     399819.000000     13991.156709     549.296455          b
5.656854     7213.466610     253.970835     24.735527     2.000000     375008.000000     13073.368799     498.057646          b
6844.766040     6844.766040     222.823325     24.266107     408268.000000     408268.000000     13176.877627     454.515120          b
2.000000     5667.441019     360.517938     50.934106     2.000000     458420.500000     29047.921899     1907.721774          b
5.656854     7340.832055     217.338982     25.805553     2.000000     422632.500000     12435.316139     399.188908          b
8791.855562     8791.855562     250.686137     25.050721     411741.500000     411741.500000     11715.765865     359.965559          b
11.414214     4772.774937     129.261208     21.096832     6.500000     458467.500000     11442.077272     322.816625          b
3.414214     5744.636974     168.780789     24.972193     0.500000     451047.500000     12487.841101     392.000766          b
5.656854     5549.919160     156.516576     25.197714     2.000000     459908.000000     12138.966352     368.343424          b
5.656854     6771.570083     218.466467     25.968134     2.000000     428397.000000     13691.575783     473.525051          b
5.656854     5550.914105     138.266827     26.578162     2.000000     433214.000000     10545.559028     300.475697          b
5.656854     5312.380056     138.842040     22.451107     2.000000     458483.000000     11130.231659     311.106239          b
5.656854     5830.006592     185.949971     23.776850     2.000000     418773.000000     12929.846452     442.851287          b
5.656854     5696.553714     178.842497     23.122427     2.000000     443591.500000     13562.686873     447.195978          b
5.656854     3863.332163     238.589427     41.864439     2.000000     465214.000000     28521.028276     1812.867925          b
5.656854     5267.357757     182.849755     24.398523     2.000000     445526.500000     14514.322003     521.801166          b
5.656854     6049.219796     217.777954     25.644928     2.000000     346107.500000     12167.459670     509.417370          b
5.656854     4820.365775     123.275431     22.692566     2.000000     455978.000000     11042.939724     303.238123          b
10.000000     5187.340513     113.145543     31.335540     466929.000000     466929.000000     9434.904593     239.080474          b
5.656854     5773.715185     126.405560     29.051570     2.000000     451585.500000     9397.454180     239.165728          b
4.000000     7702.642358     175.629961     27.895574     427704.000000     427704.000000     9563.509777     254.763632          b
0.000000     7181.456506     171.067216     26.009173     0.000000     405346.000000     9485.684638     260.992603          b
2.000000     5227.215620     114.724386     30.809858     2.000000     468076.500000     9285.643092     232.350984          b
6514.062503     6514.062503     146.261849     29.712896     442527.500000     442527.500000     9583.580430     252.166119          b
5.656854     8229.360177     193.046174     27.744264     71.500000     414015.500000     9581.307124     260.711415          b
16.485281     4512.216501     275.623130     45.775429     16.000000     456033.500000     27647.822833     1750.710332          b
7637.723532     7637.723532     182.345332     26.580773     404455.500000     404455.500000     9503.963753     263.207735          b
4300.345565     4300.345565     140.411139     27.345657     260375.000000     260375.000000     7222.040544     279.277281          b
2.000000     7666.919490     164.626960     29.080008     455392.500000     455392.500000     9487.045862     239.945072          b
2.000000     6361.712221     154.340038     26.706499     2.000000     454567.000000     10550.356658     287.196121          b
2.000000     6798.454417     170.862316     26.982787     445187.500000     445187.500000     10831.543410     307.743043          b
5.656854     8195.235288     200.731133     26.367815     2.000000     431514.000000     10411.390889     289.198020          b
14.242641     8803.596889     202.510394     26.044918     10.500000     396338.000000     8955.486864     244.234814          b
14.242641     9156.917735     212.628097     26.313489     10.500000     386555.500000     8850.020402     241.354483          b
5.656854     6130.028013     151.295208     25.189950     2.000000     355238.500000     8395.441382     250.978369          b
23.656854     7239.380384     177.319594     26.221393     25.000000     407372.500000     9799.763033     275.039085          b
16.485281     5562.899828     362.398768     54.535510     16.000000     449557.000000     29136.409265     1965.635021          b
3.414214     6342.447279     151.007720     27.421882     0.500000     444437.000000     10260.931891     280.786667          b
7908.482980     7908.482980     186.968861     26.414783     436524.500000     436524.500000     10192.763073     275.440807          b
15.656854     6998.236163     161.676463     28.618810     11.000000     457518.000000     10225.048667     272.558471          b
5.656854     8391.401805     190.388202     31.344234     2.000000     432279.000000     9610.624312     260.786103          b
5.656854     7017.674760     168.071398     27.457767     2.000000     436401.500000     10204.051747     280.649617          b
2.000000     5803.202553     134.617108     29.323223     421048.000000     421048.000000     9183.065515     252.648623          b
3.414214     10027.309647     247.469387     40.386958     0.500000     447856.500000     10568.344660     319.014206          b
4.000000     7689.546903     202.651079     38.702760     10.000000     444133.500000     11189.912917     359.476190          b
2.000000     8294.632248     232.636591     39.064516     3453.000000     439751.000000     12023.393680     407.309274          b
5.656854     7367.297123     182.121012     35.321876     456720.500000     456720.500000     10644.519572     309.567663          b
11.071068     5488.088644     334.255005     46.149418     8.500000     450359.500000     27254.104390     1711.715074          b
2.000000     6984.814806     194.779028     37.253040     450392.000000     450392.000000     11805.590425     384.750172          b
5.656854     7228.284934     212.205905     38.718364     2.000000     444085.000000     12334.470677     429.300540          b
4.000000     7223.640272     238.338682     38.985112     1.000000     428656.500000     13276.529036     499.080614          b
14.242641     6220.557889     178.436961     33.613947     8.500000     455223.500000     12219.354145     390.830570          b
2.000000     6578.457383     203.426893     31.888407     0.500000     437707.000000     13102.692500     449.463677          b
5.656854     4657.554593     172.983954     35.984475     2.000000     464965.500000     15009.753465     581.115505          b
2.828427     10191.285267     366.028069     43.162519     2.000000     376125.500000     13123.347996     578.999393          b
5.656854     4950.934315     175.774626     34.224820     2.000000     462561.000000     15048.474285     571.875264          b
0.000000     7625.498133     216.270613     37.308285     0.000000     454205.500000     12268.936592     406.279562          b
2.000000     6385.930471     209.789168     32.849401     2.000000     437971.500000     13790.216707     501.584821          b
5.656854     4673.505823     281.051152     40.474968     2.000000     460118.500000     27397.215556     1687.524911          b
5.656854     7328.076781     244.749155     37.001886     2.000000     441095.500000     13918.506462     522.612052          b
2.000000     7981.612919     244.613504     38.872331     14.000000     441001.000000     12946.163664     465.481897          b
8682.372365     8682.372365     280.070238     34.553685     417876.000000     417876.000000     13229.803653     485.038616          b
3.414214     8508.264720     278.456161     37.343144     0.500000     438361.000000     13838.547320     517.582752          b
4.000000     3786.663116     140.302552     32.481001     2.000000     471502.500000     15124.653227     565.801644          b
7668.669707     7668.669707     259.573519     38.621313     438127.500000     438127.500000     14151.960926     545.067328          b
2.000000     5583.149605     198.279450     35.398339     2.000000     460148.000000     14924.235101     572.279412          b
2.000000     8175.301300     189.037986     26.775278     0.500000     440430.500000     9198.081031     244.675740          c
5.656854     5927.906090     106.947962     21.207913     2.000000     452682.500000     7772.865160     163.344736          c
2.000000     10597.331071     192.079543     23.375665     2.000000     432110.000000     7370.095428     167.601101          c
11.414214     11723.685530     191.240036     21.235491     1.500000     441493.500000     7107.190169     143.509199          c
3.414214     6184.668500     145.807870     18.714155     0.500000     447174.000000     9634.471205     241.476809          c
6784.731551     6784.731551     125.541911     14.653639     456995.000000     456995.000000     8328.874460     169.818439          c
6014.474629     6014.474629     119.090099     15.712782     433407.500000     433407.500000     7970.558075     172.198378          c
7232.025046     7232.025046     122.592623     15.035546     445410.000000     445410.000000     7288.111745     138.658233          c
5.656854     12665.880610     226.377370     16.892555     2.000000     396959.500000     7040.195192     145.568868          c
8.242641     11221.376874     179.224921     15.722490     3.500000     404767.500000     6355.260321     119.414839          c
5.656854     3355.737149     87.308157     12.317486     2.000000     470739.500000     11922.166665     313.900513          c
5.414214     7627.269775     157.972549     23.667389     429007.000000     429007.000000     8119.529771     198.596209          c
5.656854     3908.981878     139.652085     16.328732     2.000000     471850.500000     16723.951664     608.586164          c
5.656854     2969.421353     116.437083     16.281936     2.000000     474506.000000     17896.834983     701.493590          c
5.656854     2868.166520     100.689205     16.075147     2.000000     474827.000000     15010.659480     510.399000          c
5.656854     8079.488032     182.991699     27.504473     431537.500000     431537.500000     9585.286837     254.154738          c
2.000000     7402.544817     171.615263     29.227260     6.000000     441037.000000     10005.879781     274.886715          c
3283.778780     3283.778780     55.741289     8.850215     472588.000000     472588.000000     7858.966234     135.677040          c
2.000000     6637.175200     207.481073     27.518083     2394.000000     441258.500000     13508.825931     456.953565          c
5.656854     4613.856108     177.645384     26.709789     2.000000     464319.000000     16481.622682     636.981715          c
5.656854     3095.712763     173.862938     24.522669     2.000000     467924.500000     26238.954401     1503.195584          c
4.000000     5749.874564     187.290081     26.583840     10811.500000     440863.000000     13390.830850     457.276753          c
11169.921028     11169.921028     214.865284     23.891194     404910.500000     404910.500000     7539.036609     181.600589          c
3607.401143     3607.401143     141.795290     21.502680     472603.000000     472603.000000     16476.275114     608.488443          c
5.656854     3023.244728     133.199847     19.268297     2.000000     468033.000000     20543.996007     923.855212          c
5.656854     4668.740446     163.545468     21.583117     2.000000     416826.500000     13888.731100     506.439579          c
5.656854     3956.653011     133.504105     17.911176     2.000000     440926.500000     14640.427660     505.646799          c
5.656854     3007.019332     96.807024     14.434227     2.000000     474582.000000     15221.890923     499.914521          c
2.000000     4837.970893     148.609271     21.234795     38.000000     429793.500000     12288.840943     385.814391          c
5.656854     3210.867092     94.463096     15.749122     2.000000     473571.000000     13844.588873     419.363559          c
4.828427     5602.016698     162.813579     23.032920     1.000000     406508.000000     11061.250087     342.317913          c
5.414214     7618.887966     213.254122     25.518965     1.500000     411199.000000     11479.331514     350.480889          c
9.071068     5157.383349     274.969622     44.761515     1.500000     251263.000000     8951.207893     487.209154          c
7.414214     8841.683109     166.838789     22.401378     0.500000     438491.500000     7876.099485     175.391774          c
4.828427     6492.638185     242.426867     39.377190     2.000000     374177.000000     13134.531964     556.214286          c
8.000000     9617.270984     316.218829     37.877324     405493.500000     405493.500000     13176.729142     487.421247          c
5.656854     7531.252529     246.554562     40.912047     352055.500000     352055.500000     11062.862841     467.566346          c
5758.533503     5758.533503     187.364961     43.672964     435381.500000     435381.500000     12829.603257     480.098175          c
2.000000     5569.631924     201.320947     28.136085     2.000000     390479.500000     11973.057530     427.406279          c
6.828427     6464.572173     230.617879     35.840054     1.000000     296792.500000     9437.675352     426.581885          c
5.656854     11768.119074     372.163947     43.960327     2.000000     257881.000000     7948.755169     369.352743          c
2.000000     6271.694974     196.721036     26.801026     2.000000     456685.500000     13887.793922     471.353839          c
4.000000     4121.790093     121.418064     20.390666     2.000000     444982.500000     11303.420285     329.341070          c
5.414214     6320.443102     150.337779     17.046113     1.500000     444429.000000     10025.856052     249.703204          c
0.000000     15482.118529     333.204090     31.087496     0.000000     402273.500000     8470.775957     229.351950          c
5.656854     6766.766038     149.066658     16.512532     2.000000     437232.000000     9465.598585     225.500234          c
367.521859     6777.740778     143.263691     20.021018     2277.500000     367284.000000     7494.129239     184.645712          c
2.000000     5175.507034     113.223430     20.397719     2.000000     430617.000000     8188.137254     193.777437          c
5.656854     13819.985287     369.567398     39.863720     1.000000     365582.000000     9584.200593     342.092313          c
2.000000     6323.373246     208.172710     33.071996     4.000000     239285.000000     6850.924001     286.642173          c
5.656854     9761.684320     254.727120     36.319511     2.000000     395063.000000     9929.484232     335.672240          c
12398.535378     12398.535378     298.732093     26.053566     304676.000000     304676.000000     7255.410865     229.637549          c
11378.257038     11378.257038     258.039960     24.002459     379353.000000     379353.000000     8441.523949     225.665678          c
3.414214     9279.038451     216.052378     25.413139     423196.000000     423196.000000     9278.516830     249.624580          c
5.656854     9516.619186     207.776388     24.587249     12.000000     433570.500000     9136.456783     231.735686          c
5.656854     9104.643570     172.217941     22.947992     2.000000     440380.500000     7887.347589     179.537364          c
5.656854     9418.469911     187.102637     23.885097     2.000000     438984.000000     8597.735591     201.726017          c
2.000000     8429.678938     169.227716     22.598245     442035.500000     442035.500000     8740.009062     203.714509          c
5.656854     4843.972103     135.421379     19.772181     2.000000     254876.500000     5419.179585     171.292590          c
5.656854     7018.365229     140.368588     18.072045     2.000000     331737.500000     6284.559991     164.140397          c
2.000000     9634.189811     203.944011     19.668743     2.000000     420737.000000     8738.966256     210.986201          c
2.000000     5081.320301     152.914800     19.576646     10.000000     249968.500000     6625.327589     226.033627          c
2.828427     4354.233745     102.470778     17.965466     2.000000     463958.000000     9948.415816     243.771369          c
34.142135     6796.672674     163.275043     20.407124     57.000000     437712.000000     10303.772217     272.061530          c
760.859953     5472.935526     147.218882     20.895966     15780.500000     411414.500000     10812.070758     322.563492          c
296.953318     4511.700904     127.018870     20.530413     2193.500000     397841.500000     10609.440147     327.164777          c
5.656854     14712.832172     276.179394     24.746371     2.000000     369515.000000     6753.843654     167.000833          c
2.000000     6314.807670     142.734368     18.754206     419669.500000     419669.500000     9150.406222     231.430740          c
5.656854     5270.705956     128.693538     18.912079     458115.500000     458115.500000     10613.325653     275.084273          c
2.000000     6677.358966     145.367361     18.213647     2.000000     441059.000000     9325.998363     220.435823          c
5.656854     5987.310197     125.947564     17.810359     2.000000     427625.000000     8532.801096     201.958102          c
7848.299214     7848.299214     161.134521     17.844683     436843.000000     436843.000000     8646.955620     195.560909          c
4.000000     8315.585573     168.206890     17.966490     5.000000     423469.500000     8278.845402     187.823338          c
5.414214     17426.869077     359.260126     33.651878     2.500000     342911.000000     6857.518929     192.429964          c
2.000000     14380.058443     285.738078     28.506976     19.000000     398657.000000     7676.580692     189.474473          c
2.000000     9489.206179     246.478391     30.523399     7.500000     188863.500000     4801.672267     183.639712          c
8.000000     11634.399171     231.098422     21.692310     6.500000     423450.000000     8314.621561     187.888160          c
5.414214     16539.724858     314.439222     26.069780     1.000000     259890.500000     4831.048533     133.993972          c
5.656854     8822.629291     148.327473     21.971339     97.000000     415307.500000     6781.930657     139.791156          c
2.000000     7974.056574     129.549257     19.134068     1.000000     443917.500000     7087.570220     133.958950          c
4.000000     6895.549871     121.551723     18.505558     427065.000000     427065.000000     7269.780858     149.699826          c
19.071068     7209.941788     117.280120     20.613743     14.500000     431901.000000     6836.512111     130.835965          c
5.656854     13345.777137     260.072269     25.724793     2.000000     387149.500000     7479.243334     177.707540          c
2.000000     14926.229141     427.324585     52.850838     15.000000     303965.000000     7430.485481     297.955822          c
20.242641     17457.263963     436.832665     50.761366     25.500000     374787.500000     9144.234799     327.557406          c
4.000000     14054.374238     337.110107     46.485566     408614.500000     408614.500000     9340.806518     311.869713          c
5.656854     13321.620722     308.604963     43.531760     2.000000     386929.500000     8774.634896     279.797325          c
2.000000     7355.762196     190.985274     38.789081     105332.500000     260092.500000     5961.402615     234.825282          c
2.000000     11721.335245     213.450662     22.976983     2.000000     433710.000000     7794.314697     172.155846          c
2.000000     7874.136867     180.984260     37.556160     16751.000000     352475.000000     7435.493624     235.358348          c
2.000000     10018.255828     201.666541     33.989866     1.500000     439399.500000     8530.670321     230.988131          c
2.000000     8490.220126     177.963793     30.813468     3.500000     445524.000000     8426.019000     225.196753          c
2.000000     10254.811295     236.311260     41.764505     26.000000     443809.000000     9650.697334     298.500946          c
2.000000     9416.841612     197.735715     34.182508     2.000000     437930.000000     8521.100191     240.376938          c
2.000000     11090.801191     221.066609     31.829138     11.000000     431025.000000     8222.892237     220.319586          c
2.000000     12926.958814     277.665221     31.141246     0.500000     398613.500000     8294.846201     226.996753          c
2.000000     7734.399717     177.840324     28.904866     3.000000     453874.500000     9851.907999     286.019005          c
5.656854     7383.917402     173.307716     28.369227     2.000000     441750.000000     9945.517620     288.029337          c
2.000000     5482.283723     134.381208     26.559773     427520.500000     427520.500000     9826.581859     285.988654          c
4.828427     5181.953649     204.784497     48.113914     0.500000     460089.000000     17590.494509     795.961933          d
5.656854     4866.047012     204.316937     48.686810     2.000000     460582.000000     18990.581398     900.653322          d
5.656854     3424.489456     120.959688     30.601890     2.000000     472439.000000     16387.237326     618.410843          d
4.000000     5145.049101     213.040869     54.250275     2.000000     459861.500000     18333.430874     875.432325          d
5.656854     5216.480559     224.111646     48.185827     2.000000     461181.500000     19572.560346     946.443141          d
2.000000     4632.081505     196.996307     48.109964     2.000000     464847.000000     19086.693201     904.173142          d
2.000000     3902.018453     197.255524     52.492836     1.000000     467354.000000     21671.514033     1147.417026          d
4698.466281     4698.466281     201.562006     49.287379     465524.500000     465524.500000     19445.259891     942.073427          d
6.828427     6817.925753     179.429354     27.115845     1.000000     51373.000000     1276.584821     87.122012          d
2.000000     4384.096993     157.685624     26.503988     1.000000     69145.000000     1733.249690     106.308927          d
4.000000     3194.262306     130.666211     28.884769     21.000000     59139.000000     1869.076232     135.582504          d
2.000000     4259.545698     141.550180     26.380893     5.000000     56638.000000     1445.770827     98.145637          d
5.656854     3845.148397     168.054301     44.510672     2.000000     468203.500000     19489.374579     923.852431          d
