id/name    minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
0    0.000000     211.965510     25.741432     22.300519     0.000000     472.000000     52.161653     30.782042          a
1    2.000000     270.149275     26.926710     21.672585     1.500000     733.000000     59.119228     30.236294          a
2    4.000000     259.379724     26.861337     21.848890     566.000000     734.000000     58.489460     30.562635          a
3    2.000000     211.137083     26.880960     21.856016     3.000000     474.500000     54.543557     30.578244          a
4    6.828427     348.534052     27.503197     21.528662     2.000000     754.000000     57.510504     29.849473          a
5    26.384776     349.362479     27.564390     21.329738     20.000000     753.000000     58.653328     29.698999          a
6    5.414214     348.534051     28.882620     22.276016     0.500000     752.000000     62.929855     31.195543          a
7    6.828427     306.492421     26.663096     21.463661     1.000000     745.500000     54.287716     28.988498          a
8    18.000000     349.119838     27.705936     21.491024     8.000000     755.500000     60.731667     30.300000          a
9    2.000000     350.534052     27.057565     21.256647     1.500000     753.000000     54.692893     29.363205          a
10    2.000000     196.409161     21.735575     19.709859     3.500000     641.500000     42.022442     24.427979          a
11    2.000000     349.948265     28.147263     21.462733     2.000000     753.500000     59.980089     29.757516          a
12    43.556349     349.948265     27.555241     21.137932     63.500000     755.500000     58.263082     28.981730          a
13    0.000000     348.534052     27.373477     21.295064     0.000000     752.000000     56.653763     28.743002          a
14    2.000000     350.190905     28.496749     18.975811     96.000000     1031.000000     64.708409     25.380017          a
15    2.000000     312.492421     27.266031     19.080374     2.000000     814.500000     62.585816     25.389652          a
16    2.000000     350.190905     27.725886     18.610589     0.000000     1031.000000     62.992019     24.734322          a
17    0.000000     36.727922     6.928337     7.829678     0.000000     64.000000     7.774897     4.751870          a
18    2.000000     36.627416     6.445920     6.651536     0.000000     65.000000     6.715479     3.562081          a
19    2.000000     28.727922     6.121467     6.314156     3.000000     34.000000     5.255167     3.136364          a
20    0.000000     37.556349     6.773784     7.133432     0.000000     65.000000     7.191226     4.106911          a
21    2.000000     216.894442     21.213088     18.726897     0.000000     641.500000     41.886720     23.209894          a
22    11.414214     36.627416     6.384685     6.486488     6.500000     65.000000     6.349585     3.434492          a
23    2.000000     29.899495     6.171262     5.987488     0.000000     57.500000     5.954032     3.036545          a
24    0.000000     51.597979     6.998830     7.093583     0.000000     65.000000     7.226854     4.006012          a
25    4.000000     27.899495     6.021846     6.048765     2.500000     34.000000     4.680781     2.717662          a
26    4.000000     29.899495     6.057586     5.981229     0.000000     57.500000     5.329839     2.749319          a
27    6.828427     51.597979     6.436988     6.405113     2.000000     62.000000     5.746244     3.030083          a
28    10.242641     24.485281     5.854863     6.084201     1.500000     22.000000     4.283685     2.568750          a
29    0.000000     22.485281     5.984178     6.009357     0.000000     22.000000     4.101873     2.533333          a
30    2.828427     39.455844     6.432645     6.663447     1.000000     62.000000     6.295121     3.350731          a
31    5.656854     24.485281     5.941704     6.324024     2.000000     22.000000     4.572012     2.782313          a
32    11.656854     176.651801     21.617934     19.727381     6.000000     278.000000     35.444975     23.138418          a
33    2.000000     22.485281     5.979535     6.208019     0.500000     22.000000     4.422955     2.705285          a
34    13.071068     263.563489     19.606901     16.784146     10.000000     519.000000     31.981566     16.735866          a
35    6.000000     263.563489     19.829477     16.427827     0.000000     521.000000     33.094275     16.748280          a
36    7.656854     263.563489     20.279437     16.251013     4.000000     521.000000     33.768427     16.535556          a
37    4.828427     262.149276     18.855535     15.790738     1.000000     518.500000     29.718913     15.671438          a
38    2.000000     152.124890     17.978707     16.002842     2.000000     427.500000     29.726883     16.369421          a
39    2.000000     215.722869     20.263558     17.078467     1.500000     465.500000     34.149014     17.666573          a
40    2.000000     168.024385     19.728779     16.390515     1.000000     400.500000     31.814263     16.799750          a
41    4.000000     262.149276     20.146286     16.402326     1.500000     520.500000     33.234016     16.684111          a
42    2.000000     263.563489     19.978705     16.163492     23.000000     518.000000     32.829608     16.218468          a
43    18.242641     195.237588     21.918453     19.313953     21.500000     642.500000     40.225746     23.334683          a
44    0.000000     42.970562     8.759579     6.356962     0.000000     38.500000     7.780142     3.678571          a
45    0.000000     46.041630     8.631208     5.669626     0.000000     47.500000     8.511755     3.138095          a
46    2.828427     80.669047     9.314439     6.849006     0.000000     109.500000     10.657628     3.880952          a
47    2.828427     115.053822     10.871369     7.411315     0.000000     111.500000     11.297873     4.038344          a
48    0.000000     43.798989     8.451243     5.961193     0.000000     38.000000     6.447567     2.676056          a
49    15.656854     58.526911     10.041209     6.860155     11.000000     112.500000     13.578858     4.396175          a
50    8.828427     79.840619     9.102082     6.969419     3.000000     111.500000     9.888983     3.837884          a
51    0.000000     110.568541     11.200035     8.181752     0.000000     113.500000     12.360912     4.973776          a
52    8.000000     36.627417     5.998307     5.568779     3.000000     33.000000     4.036701     2.121438          a
53    2.000000     89.012192     9.201523     9.018072     38.000000     121.500000     11.890624     6.641962          a
54    2.000000     194.409161     20.269787     18.932170     10.000000     641.500000     39.129110     23.236842          a
55    2.000000     25.313708     6.307686     6.424046     3.000000     25.000000     4.179702     2.497925          a
56    2.000000     43.698484     6.496174     6.497913     1.000000     20.500000     3.796496     2.354895          a
57    7.656854     36.627417     6.281581     6.488729     3.000000     25.000000     4.239751     2.570028          a
58    0.000000     198.651801     19.976282     17.961239     0.000000     640.000000     38.592183     21.545546          a
59    4.000000     195.580734     21.334456     19.405225     1.500000     640.500000     40.694474     24.159171          a
60    5.656854     211.965510     24.406941     19.966491     2.000000     596.500000     49.175879     26.373482          a
61    2.000000     182.994947     21.770093     19.860389     0.500000     280.000000     36.290791     23.338619          a
0    5.656854     210.811182     17.106618     13.367080     1.000000     484.000000     32.453407     14.264349          b
1    5.656854     332.977703     23.797841     17.253242     2.000000     721.500000     44.997012     20.375353          b
2    3.414214     379.989895     21.936676     14.820637     0.500000     1029.000000     45.232171     16.620273          b
3    5.656854     295.906634     21.402993     15.878922     2.000000     2722.000000     76.658502     19.170049          b
4    2.000000     396.617312     21.391559     16.318800     2.000000     1695.000000     54.471795     19.304054          b
5    2.000000     206.409161     20.595234     16.149762     2.000000     392.000000     37.278884     18.243333          b
6    2.000000     332.391916     21.019658     15.089496     16.000000     722.000000     42.906693     17.625723          b
7    2.828427     332.977703     22.806634     16.535124     0.500000     723.500000     45.879920     19.787423          b
8    2.828427     392.132030     23.964948     17.130317     459.000000     1060.000000     51.409196     20.992115          b
9    5.656854     392.132030     23.140335     17.003989     2.000000     1062.000000     47.460774     20.166480          b
10    4.000000     75.497474     7.165642     5.496879     0.000000     67.500000     4.549873     1.909804          b
11    5.656854     144.953317     17.301732     14.267316     2.000000     332.000000     31.425738     15.354180          b
12    2.000000     83.982755     7.279935     5.537282     1.500000     65.500000     4.123111     1.720581          b
13    2.000000     119.539104     9.028275     6.695163     3.000000     126.500000     7.338814     2.843340          b
14    0.000000     119.539104     9.203049     7.042513     0.000000     126.500000     8.309080     3.449077          b
15    5.414214     119.539104     9.861917     8.137869     1.500000     166.500000     11.089389     4.805832          b
16    12.242641     81.154328     7.240383     5.537538     4.000000     66.500000     4.395876     1.773966          b
17    5.656854     80.325901     7.461919     5.889624     2.000000     65.500000     4.770657     1.996016          b
18    8.828427     75.497474     7.398459     5.769917     3.000000     67.500000     4.648083     1.969155          b
19    2.000000     97.497474     8.306179     6.255601     3.000000     127.500000     6.000222     2.254423          b
20    4.000000     80.325901     7.217176     5.569479     1.000000     68.500000     4.559084     1.836837          b
21    5.414214     91.012192     11.181745     11.256810     1.500000     189.500000     13.566422     7.639059          b
22    3.414214     283.279218     19.535136     15.762349     0.500000     611.000000     36.866986     17.807113          b
23    4.000000     98.325901     12.397432     11.675387     0.000000     189.500000     14.845745     8.186887          b
24    2.000000     98.325901     12.452315     11.441672     17.500000     117.500000     12.968555     7.592424          b
25    2.000000     89.254833     11.580439     10.764438     2.000000     117.500000     11.319987     6.549126          b
26    13.071068     116.325901     11.422228     10.362184     8.500000     143.500000     11.334066     6.224719          b
27    11.071068     119.396968     11.207114     11.285129     3.500000     123.500000     11.448805     7.221257          b
28    2.000000     113.740114     12.249036     12.011279     4.000000     124.500000     12.590543     7.982768          b
29    7.414214     104.811182     12.222250     11.580653     1.500000     124.500000     12.628136     7.459552          b
30    2.000000     103.982755     12.387222     11.405848     36.500000     116.500000     12.214590     7.218855          b
31    10.828427     104.811182     11.940200     11.114806     6.000000     113.000000     10.952172     6.553899          b
32    4.000000     116.325901     11.968373     10.689002     8.500000     143.500000     11.477318     6.210759          b
33    5.656854     282.693432     20.201351     16.120067     2.000000     612.500000     39.062293     18.477002          b
34    5.414214     138.024385     13.053705     11.448663     1.500000     116.000000     12.216023     7.062301          b
35    2.000000     136.610171     12.979698     11.574666     0.000000     116.000000     11.831118     7.111613          b
36    0.000000     135.781744     12.609712     11.710648     0.000000     116.000000     11.684301     7.234043          b
37    2.000000     113.740114     12.311888     11.779282     1.500000     124.500000     12.154219     7.607351          b
38    2.000000     113.740114     12.263036     11.927306     0.000000     124.500000     12.237695     7.926569          b
39    0.000000     113.740114     11.918045     11.431142     0.000000     124.500000     11.496704     7.173371          b
40    4.828427     136.610171     12.997796     13.046584     1.000000     136.500000     13.705832     9.622775          b
41    2.000000     118.911687     12.478016     11.994781     2.000000     125.500000     12.124348     7.847700          b
42    5.656854     136.610171     12.592015     11.449143     1.000000     116.000000     11.576322     6.841991          b
43    2.000000     104.811182     12.792976     11.769971     1.000000     114.500000     11.831162     7.162746          b
44    5.656854     429.345233     23.988520     17.090272     1.500000     1589.000000     60.488259     20.788549          b
45    4.000000     104.811182     12.220790     11.757044     1.000000     124.500000     12.574262     7.624590          b
46    2.000000     116.325901     11.762030     10.784819     18.500000     143.500000     11.521301     6.450527          b
47    5.656854     136.610171     12.818125     12.229127     2.000000     127.500000     12.918125     8.172619          b
48    4.000000     121.154328     8.227820     7.190212     0.000000     207.500000     8.886953     3.733497          b
49    5.656854     121.396968     8.914627     7.659085     2.000000     210.000000     10.099961     4.227946          b
50    2.000000     65.941125     7.203424     6.769544     10.500000     88.500000     6.328424     3.122404          b
51    2.000000     59.698484     7.585205     6.055137     0.000000     69.500000     5.877832     2.448430          b
52    3.414214     75.840620     7.273567     6.853519     0.500000     56.500000     5.519300     3.113636          b
53    0.000000     75.840620     7.302331     6.653005     0.000000     56.500000     5.351481     2.943734          b
54    4.000000     52.485281     6.761160     6.214803     1.000000     35.000000     4.666100     2.402778          b
55    2.000000     411.646749     25.332799     17.430124     2.000000     1693.500000     66.388020     21.642342          b
56    2.000000     59.941125     7.292127     6.259486     0.000000     69.000000     5.393440     2.371158          b
57    2.000000     48.870057     6.690550     5.757254     0.000000     31.500000     4.000559     2.006443          b
58    3.414214     53.698484     6.544566     6.207909     0.500000     111.500000     5.359111     2.584270          b
59    3.414214     53.698484     7.045450     6.181840     0.500000     111.500000     6.441028     2.590610          b
60    5.656854     54.284271     7.065857     5.872363     0.000000     112.000000     6.767535     2.214815          b
61    2.000000     32.970562     5.891006     5.212717     0.000000     17.000000     3.386743     1.717899          b
62    2.000000     32.970562     5.921732     5.118092     2.000000     16.500000     3.277349     1.594771          b
63    2.000000     25.313708     5.304786     4.782932     2.000000     17.000000     3.166238     1.468750          b
64    2.828427     53.698484     6.563328     5.174620     0.000000     111.500000     9.630105     2.014493          b
65    0.000000     75.597979     9.117194     5.479971     0.000000     198.000000     19.481508     3.588889          b
66    2.000000     412.818322     24.436194     16.809272     2.000000     1694.500000     62.165240     20.799320          b
67    2.000000     72.426406     6.610190     3.841152     0.000000     199.000000     14.039903     1.997549          b
68    3.414214     72.426406     6.835696     4.828083     0.000000     199.000000     13.027464     2.345048          b
69    0.000000     32.384776     5.639367     5.184091     0.000000     29.000000     3.960771     2.075071          b
70    2.000000     59.941125     6.761627     6.317708     0.500000     47.000000     5.046017     2.639982          b
71    15.071068     73.840619     6.940994     4.024558     2.500000     196.500000     14.359536     2.094737          b
72    8.000000     52.485281     6.688765     6.224283     4.000000     33.000000     4.808577     2.606227          b
73    2.000000     72.526911     8.181406     8.128884     13.500000     118.500000     9.300404     5.263072          b
74    2.000000     63.112698     8.199008     7.695179     13.500000     100.000000     8.868622     4.868380          b
75    2.000000     63.112698     8.040062     7.509384     0.000000     100.000000     8.612239     4.752014          b
76    8.242641     63.112698     8.090719     7.842295     1.500000     100.000000     8.900576     4.938668          b
77    2.000000     332.977703     20.911911     14.971103     1.500000     722.500000     42.910326     17.509615          b
78    2.000000     63.112698     8.054193     7.697490     1.500000     100.000000     8.510125     4.794244          b
79    0.000000     63.112698     7.957943     7.787463     0.000000     100.000000     8.623395     4.929126          b
80    5.414214     63.112698     7.879486     7.645509     1.000000     100.000000     8.756041     4.833835          b
81    2.000000     73.597979     8.790845     8.465330     2.500000     155.000000     10.836347     5.726533          b
82    6.000000     73.597979     8.329349     7.638190     2.000000     155.000000     10.459834     4.932983          b
83    2.000000     73.597979     8.228103     7.336630     0.000000     155.000000     11.734508     4.948473          b
84    5.414214     33.213203     6.332283     6.411537     0.000000     50.500000     6.787668     3.876623          b
85    8.828427     43.798989     7.518894     7.385384     4.000000     84.500000     9.705338     4.926882          b
86    12.485281     63.112698     8.095628     7.838664     6.000000     100.000000     8.888830     4.946335          b
87    2.000000     73.597979     8.447488     7.452817     0.000000     155.000000     11.427754     5.051136          b
88    4.000000     391.889389     24.716681     16.574436     2.000000     1056.500000     56.639352     20.665727          b
89    0.000000     44.627416     7.490345     7.135170     0.000000     50.500000     7.540833     4.202913          b
90    2.000000     63.112698     7.940066     7.735414     2.500000     100.000000     8.825934     4.946834          b
91    2.828427     73.597979     8.147543     7.143473     0.000000     155.000000     11.639752     4.919922          b
92    6.000000     44.627416     7.494489     7.120419     0.000000     50.500000     7.535135     4.188213          b
93    2.000000     48.627416     8.264700     8.186391     0.000000     84.500000     10.518385     5.762037          b
94    3.414214     45.213203     7.492258     7.308494     0.500000     50.500000     7.643280     4.361059          b
95    4.828427     73.597979     8.297127     7.530711     1.000000     155.000000     12.141188     5.287671          b
0    10.828427     56.284271     6.837154     5.523203     2.500000     91.000000     6.450741     2.308547          c
1    2.000000     118.610172     10.725643     9.378218     1.000000     134.500000     12.571717     6.019374          c
2    4.000000     55.698484     9.257748     8.381677     0.000000     70.000000     8.040251     4.264323          c
3    0.000000     54.627416     9.299220     8.683937     0.000000     97.500000     9.270328     4.853111          c
4    2.828427     64.426406     9.211415     7.265156     0.000000     78.000000     10.152891     4.713793          c
5    0.000000     55.455844     9.193958     7.593564     0.000000     78.000000     10.298910     5.036154          c
6    5.656854     54.769552     7.744421     6.681675     2.000000     64.000000     7.303970     3.411025          c
7    0.000000     46.284271     8.436011     7.327082     0.000000     56.500000     8.232245     4.210021          c
8    2.000000     46.041630     8.013790     7.197646     0.000000     53.500000     7.383970     3.768456          c
9    2.828427     44.970562     8.741801     7.216444     0.000000     55.500000     8.383883     3.938983          c
10    5.414214     100.083260     10.995068     9.085543     1.500000     173.000000     13.043385     6.040924          c
11    0.000000     56.284271     7.251933     6.230115     0.000000     91.000000     7.099116     2.752930          c
12    6.828427     130.710677     11.115305     8.097608     1.000000     262.000000     14.415166     5.024645          c
13    8.828427     144.710676     13.488874     9.280599     1.000000     328.000000     19.854549     7.099954          c
14    5.656854     135.923880     12.764131     9.795289     2.000000     266.000000     17.402006     7.402134          c
15    2.000000     114.225396     11.353582     11.002901     0.500000     163.000000     13.031199     7.424110          c
16    2.000000     72.669047     9.536500     8.397948     0.000000     124.500000     9.721565     4.530843          c
17    4.000000     158.367531     15.999855     12.367177     0.000000     261.500000     22.455926     10.584826          c
18    2.000000     169.338093     14.545709     13.969040     2.000000     206.000000     19.010867     12.172351          c
19    0.000000     101.254833     14.524647     15.003211     0.000000     153.500000     20.782348     14.305678          c
20    6.828427     102.083260     14.541682     16.444976     1.500000     149.000000     22.151240     16.690789          c
21    29.313708     193.137083     16.970751     15.030552     48.000000     272.000000     23.539661     13.710555          c
22    5.656854     51.455844     6.651050     5.772347     2.000000     54.000000     5.288756     2.257294          c
23    0.000000     110.568541     17.123264     16.648782     0.000000     170.000000     26.203075     17.489753          c
24    6.828427     105.254833     15.766803     16.905358     1.500000     178.000000     25.503072     18.054455          c
25    5.656854     191.722869     16.749677     15.240981     2.000000     270.500000     24.496409     14.981987          c
26    0.000000     191.722869     16.245110     15.174765     0.000000     269.500000     24.377888     15.152413          c
27    4.000000     116.225396     16.232222     15.747963     0.000000     170.000000     25.134505     16.206034          c
28    2.000000     117.497473     15.441570     14.595688     0.500000     217.000000     24.073030     14.258610          c
29    2.828427     114.468036     15.839097     15.719906     2.000000     217.000000     24.744150     15.982244          c
30    2.000000     114.468036     14.776851     14.247036     7.500000     217.000000     22.412516     13.439155          c
31    2.000000     89.840620     11.144066     9.749048     4.500000     128.000000     12.626653     6.487338          c
32    2.000000     78.669047     10.060393     11.655089     0.000000     184.500000     15.094115     9.273486          c
33    2.828427     38.627417     6.115257     5.132200     4.000000     76.000000     5.394739     1.971098          c
34    4.828427     70.183766     9.931280     9.705233     1.000000     187.500000     13.827140     6.752294          c
35    5.656854     50.526911     9.097117     9.473944     0.000000     69.000000     9.479122     5.906028          c
36    5.656854     62.870057     9.902776     10.489515     2.000000     72.500000     11.209023     7.117711          c
37    0.000000     62.870057     8.207497     8.752100     0.000000     72.500000     9.566025     5.681217          c
