nrContururi   minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
1005   4733.662236     4733.662236     152.753623     36.263456     465511.500000     465511.500000     14675.770784     541.759701          a
893   2.000000     4642.123132     159.147421     38.981419     11.000000     464561.500000     15536.469415     608.526876          a
888   2.000000     4098.653011     143.163692     37.796170     2.000000     465814.500000     15623.636658     618.020270          a
1099   2.000000     3969.574803     122.528296     31.341483     2.000000     469252.500000     14147.648695     488.611920          a
984   4.000000     4185.138291     137.538566     33.767666     1.000000     465831.500000     14843.334772     547.036077          a
948   5.656854     3847.859073     128.937890     32.472562     2.000000     470282.500000     15267.157938     567.634494          a
973   5.656854     3989.197167     133.586121     35.561935     2.000000     464979.500000     14900.828542     565.478931          a
993   2.000000     4331.003295     142.180475     35.042118     2.000000     466623.000000     14802.153228     551.610775          a
945   5.656854     4912.657185     163.210273     34.839985     2.000000     464634.500000     15107.807763     566.864021          a
1044   5.656854     3746.378845     118.667155     30.564228     2.000000     468043.500000     14478.325264     506.585249          a
1084   2.000000     5500.803496     188.085199     45.008982     7.000000     452815.500000     13754.540542     538.449262          a
980   5.656854     4134.385985     136.267469     32.913200     2.000000     468339.000000     14954.252083     551.041837          a
996   5.656854     3991.758567     129.967825     31.471428     2.000000     468436.000000     14836.854191     536.999498          a
1076   5.656854     4176.192114     129.674022     29.898569     2.000000     461031.500000     14048.525234     483.261617          a
307   5.656854     5829.548663     336.936930     61.836906     2.000000     441620.500000     25165.315928     1625.262215          a
287   5.656854     4471.370828     272.998776     61.282803     2.000000     455037.000000     26815.328963     1795.456446          a
321   5.656854     4268.719025     245.531362     56.149042     2.000000     452612.000000     25224.646008     1595.116822          a
2005   6.242641     5625.356000     209.928089     31.627056     0.500000     50359.500000     1435.844482     113.290773          a
2222   2.000000     4814.613799     150.246037     26.802065     1.000000     43100.000000     1104.659705     88.779703          a
2039   2.000000     3484.394335     132.974050     27.422810     1.000000     31902.000000     942.370668     90.654733          a
2353   2.000000     7958.616221     239.992331     29.167991     0.000000     71037.000000     1755.882103     109.116660          a
1096   2.000000     4952.078538     171.367174     43.006621     0.000000     461913.500000     13954.355194     533.388686          a
2244   75.941125     4944.496050     168.283810     28.189155     62.000000     44905.500000     1428.622193     104.733289          a
2178   2.000000     4490.949805     162.276748     27.951673     0.000000     45017.500000     1318.977975     103.438935          a
2455   10.242641     9829.217497     282.659939     29.330866     1.000000     83066.000000     2118.006989     119.466802          a
2301   4.000000     7289.204972     225.743452     29.337997     0.000000     50474.000000     1572.142447     112.861147          a
2194   6.828427     5351.816897     199.417220     29.365433     1.000000     34541.000000     1284.443610     110.905196          a
2470   2.000000     7994.196954     228.944036     29.199884     0.500000     58732.500000     1516.821264     104.823482          a
2340   3.414214     6236.080957     211.779980     28.488091     0.500000     39240.500000     1438.606072     116.451068          a
2265   6.000000     4379.060416     177.530972     27.760120     0.000000     31771.000000     1216.608096     104.052759          a
2451   33.899495     6336.548993     210.133248     28.856158     50.500000     39347.000000     1234.521735     95.942268          a
2323   2.000000     6235.152024     178.762499     28.292115     21.000000     39327.000000     1074.068154     94.092983          a
1036   2.000000     6462.842161     213.201879     40.535844     57.000000     427443.500000     13287.061881     521.100386          a
2229   2.000000     4379.060416     163.200468     28.094646     21.000000     31771.000000     1041.307547     92.178331          a
1559   5.656854     9598.456837     261.031751     40.056025     0.000000     425396.500000     10777.076510     362.396729          a
1320   5.656854     9683.469028     289.136180     44.055475     2.000000     378513.000000     10433.407524     405.144697          a
1224   3.414214     11959.675422     361.069393     46.777234     0.500000     363725.500000     10415.517966     424.439134          a
1122   4.000000     13764.186294     427.650440     50.039350     2.500000     373486.000000     11171.960254     476.745098          a
1210   2.000000     13383.794378     399.961546     48.199347     122.500000     408128.000000     11738.936463     450.543388          a
1557   2.000000     11092.298665     293.810420     39.279093     411046.500000     411046.500000     10422.667888     349.894669          a
1189   2.000000     12655.714086     384.697224     48.309638     12.000000     390777.500000     11343.708344     453.639193          a
1261   5.414214     10655.580847     320.044297     45.365338     23.500000     381085.000000     10748.002908     427.478588          a
