"1" "minimPerim1" "maximPerim1" "deviatiePerim1" "mediePerim1" "minimArie1" "maximArie1" "deviatieArie1" "medieArie1" "minimPerim2" "maximPerim2" "deviatiePerim2" "mediePerim2" "minimArie2" "maximArie2" "deviatieArie2" "medieArie2" "tip"
"2" "2.000000" "5532.252197" "164.135262" "37.436145" "0.500000" "461327.000000" "13300.426180" "466.779118" "2.000000" "5532.252197" "164.135262" "37.436145" "2.000000" "461327.000000" "13300.426180" "466.779118" "a"
"3" "5.656854" "6123.011644" "187.371726" "38.322199" "2.000000" "457745.000000" "13720.632175" "496.738309" "102.426406" "6123.011644" "187.371726" "38.322199" "243.000000" "457745.000000" "13720.632175" "496.738309" "a"
"4" "2.000000" "5557.659272" "173.206442" "37.712661" "2.000000" "459360.000000" "13896.025539" "510.911630" "5.656854" "5557.659272" "173.206442" "37.712661" "2.000000" "459360.000000" "13896.025539" "510.911630" "a"
"5" "5.656854" "4634.868300" "128.313619" "32.209432" "2.000000" "466895.500000" "12531.708615" "401.117159" "5.656854" "4634.868300" "128.313619" "32.209432" "2.000000" "466895.500000" "12531.708615" "401.117159" "a"
"6" "2.000000" "4845.603361" "141.550122" "33.595232" "0.500000" "461929.500000" "13066.512229" "442.755404" "2.000000" "4845.603361" "141.550122" "33.595232" "1.000000" "461929.500000" "13066.512229" "442.755404" "a"
"7" "2.000000" "4270.358634" "125.260109" "31.845458" "2.000000" "468537.500000" "13201.260260" "441.444400" "2.000000" "4270.358634" "125.260109" "31.845458" "2.000000" "468537.500000" "13201.260260" "441.444400" "a"
"8" "5.656854" "5709.264392" "168.476146" "35.551436" "2.000000" "452598.500000" "12975.606518" "452.628701" "5.656854" "5709.264392" "168.476146" "35.551436" "2.000000" "452598.500000" "12975.606518" "452.628701" "a"
"9" "5.414214" "5087.049101" "148.641412" "34.552636" "1.500000" "459734.500000" "12888.359378" "440.879324" "5.656854" "5087.049101" "148.641412" "34.552636" "2.000000" "459734.500000" "12888.359378" "440.879324" "a"
"10" "5.656854" "5615.933438" "163.488806" "33.775174" "2.000000" "460098.000000" "13041.602845" "442.370981" "5.656854" "5615.933438" "163.488806" "33.775174" "2.000000" "460098.000000" "13041.602845" "442.370981" "a"
"11" "5.656854" "4259.003296" "116.877140" "29.962765" "2.000000" "465761.000000" "12395.031755" "387.361446" "4.828427" "4259.003296" "116.877140" "29.962765" "1.000000" "465761.000000" "12395.031755" "387.361446" "a"
"12" "5.656854" "10293.725951" "301.623324" "45.053914" "1.500000" "425760.500000" "11965.023679" "445.778785" "5.656854" "10293.725951" "301.623324" "45.053914" "2.000000" "425760.500000" "11965.023679" "445.778785" "a"
"13" "5.414214" "4771.093698" "137.259857" "32.259363" "1.500000" "465572.500000" "12914.638778" "428.985373" "5.414214" "4771.093698" "137.259857" "32.259363" "1.500000" "465572.500000" "12914.638778" "428.985373" "a"
"14" "5.414214" "4184.049978" "119.313370" "30.745752" "1.500000" "467293.500000" "12762.604005" "413.639925" "5.414214" "4184.049978" "119.313370" "30.745752" "1.500000" "467293.500000" "12762.604005" "413.639925" "a"
"15" "4.828427" "4694.047013" "127.750105" "29.970748" "1.000000" "458708.000000" "12160.588791" "377.922293" "5.656854" "4694.047013" "127.750105" "29.970748" "2.000000" "458708.000000" "12160.588791" "377.922293" "a"
"16" "5.656854" "6536.173112" "344.354799" "58.151145" "2.000000" "434996.000000" "22469.866113" "1332.863636" "5.656854" "6536.173112" "344.354799" "58.151145" "2.000000" "434996.000000" "22469.866113" "1332.863636" "a"
"17" "5.656854" "5217.693762" "287.590306" "57.073256" "2.000000" "449298.000000" "23721.180187" "1439.754190" "2.000000" "5217.693762" "287.590306" "57.073256" "4.000000" "449298.000000" "23721.180187" "1439.754190" "a"
"18" "5.656854" "5333.860281" "269.853485" "51.517595" "2.000000" "435478.000000" "21558.050418" "1203.547912" "5.656854" "5333.860281" "269.853485" "51.517595" "2.000000" "435478.000000" "21558.050418" "1203.547912" "a"
"19" "4.000000" "3670.702989" "129.289463" "29.564357" "2.000000" "19999.000000" "609.402216" "77.497592" "4.000000" "3670.702989" "129.289463" "29.564357" "2.000000" "19999.000000" "609.402216" "77.497592" "a"
"20" "5.656854" "3063.132360" "108.908752" "26.660392" "2.000000" "15307.500000" "477.407870" "64.508684" "5.656854" "3063.132360" "108.908752" "26.660392" "2.000000" "15307.500000" "477.407870" "64.508684" "a"
"21" "0.000000" "1702.025594" "94.526022" "27.184463" "0.000000" "8046.500000" "376.621071" "64.266779" "0.000000" "1702.025594" "94.526022" "27.184463" "0.000000" "8046.500000" "376.621071" "64.266779" "a"
"22" "6.000000" "3988.977154" "138.913304" "28.870027" "0.000000" "27441.000000" "760.928745" "81.949458" "6.000000" "3988.977154" "138.913304" "28.870027" "0.000000" "27441.000000" "760.928745" "81.949458" "a"
"23" "5.656854" "10678.419379" "300.588114" "42.602616" "1.000000" "423949.000000" "11658.222705" "409.265129" "2.000000" "10678.419379" "300.588114" "42.602616" "2.000000" "423949.000000" "11658.222705" "409.265129" "a"
"24" "2.000000" "3204.369948" "114.936379" "27.677839" "2.000000" "16396.000000" "520.023823" "67.771516" "4.000000" "3204.369948" "114.936379" "27.677839" "2.000000" "16396.000000" "520.023823" "67.771516" "a"
"25" "3.414214" "1649.155537" "98.435995" "27.658899" "0.500000" "8035.000000" "413.041725" "66.619571" "3.414214" "1649.155537" "98.435995" "27.658899" "0.500000" "8035.000000" "413.041725" "66.619571" "a"
"26" "2.000000" "4023.119290" "140.214147" "27.941536" "1.000000" "27390.000000" "783.340034" "82.980664" "2.000000" "4023.119290" "140.214147" "27.941536" "1.000000" "27390.000000" "783.340034" "82.980664" "a"
"27" "5.656854" "1979.530208" "114.197653" "27.969794" "2.000000" "20645.500000" "733.305634" "88.051935" "5.656854" "1979.530208" "114.197653" "27.969794" "2.000000" "20645.500000" "733.305634" "88.051935" "a"
"28" "5.656854" "1995.991104" "108.182521" "28.235442" "2.000000" "8613.000000" "467.984769" "70.688136" "5.656854" "1995.991104" "108.182521" "28.235442" "2.000000" "8613.000000" "467.984769" "70.688136" "a"
"29" "2.000000" "1971.187062" "121.356065" "28.117464" "91.500000" "23209.500000" "719.875769" "84.989922" "2.000000" "1971.187062" "121.356065" "28.117464" "91.500000" "23209.500000" "719.875769" "84.989922" "a"
"30" "0.000000" "1975.187062" "111.532474" "26.915604" "0.000000" "20646.500000" "677.127775" "78.859252" "0.000000" "1975.187062" "111.532474" "26.915604" "0.000000" "20646.500000" "677.127775" "78.859252" "a"
"31" "2.000000" "1861.505823" "105.763759" "27.052711" "2.000000" "20690.000000" "661.158840" "76.819815" "26.828427" "1861.505823" "105.763759" "27.052711" "10.000000" "20690.000000" "661.158840" "76.819815" "a"
"32" "5.656854" "3901.320303" "134.843122" "28.748102" "2.000000" "17115.000000" "563.014159" "75.000953" "2.828427" "3901.320303" "134.843122" "28.748102" "2.000000" "17115.000000" "563.014159" "75.000953" "a"
"33" "5.656854" "1889.647958" "104.616418" "27.652592" "2.000000" "7143.500000" "395.767351" "65.465318" "5.656854" "1889.647958" "104.616418" "27.652592" "2.000000" "7143.500000" "395.767351" "65.465318" "a"
"34" "2.000000" "7828.836231" "237.264753" "39.666397" "83.500000" "416457.500000" "11824.226102" "437.969855" "2.000000" "7828.836231" "237.264753" "39.666397" "83.500000" "416457.500000" "11824.226102" "437.969855" "a"
"35" "5.656854" "1861.505823" "99.537145" "27.585921" "0.000000" "6322.000000" "371.059345" "62.352284" "5.656854" "1861.505823" "99.537145" "27.585921" "0.000000" "6322.000000" "371.059345" "62.352284" "a"
"36" "2.000000" "15473.750998" "406.285091" "42.156385" "0.000000" "368500.500000" "9232.190554" "328.476265" "2.000000" "15473.750998" "406.285091" "42.156385" "0.000000" "368500.500000" "9232.190554" "328.476265" "a"
"37" "2.000000" "18611.881271" "512.361921" "44.825576" "2.000000" "314653.500000" "8505.461021" "331.417574" "5.656854" "18611.881271" "512.361921" "44.825576" "2.000000" "314653.500000" "8505.461021" "331.417574" "a"
"38" "5.656854" "19017.902689" "539.326157" "46.158919" "0.500000" "293364.000000" "8188.135912" "338.454791" "2.000000" "19017.902689" "539.326157" "46.158919" "2.000000" "293364.000000" "8188.135912" "338.454791" "a"
"39" "4.000000" "20578.146542" "612.542201" "50.162342" "1.000000" "259139.000000" "7674.532017" "363.386246" "5.656854" "20578.146542" "612.542201" "50.162342" "2.000000" "259139.000000" "7674.532017" "363.386246" "a"
"40" "5.656854" "17907.614247" "522.719230" "49.193584" "2.000000" "304730.000000" "8803.080912" "418.479233" "4.828427" "17907.614247" "522.719230" "49.193584" "1.000000" "304730.000000" "8803.080912" "418.479233" "a"
"41" "4.828427" "14566.783399" "395.329694" "43.949055" "0.500000" "330139.000000" "8497.254342" "329.063033" "5.656854" "14566.783399" "395.329694" "43.949055" "0.500000" "330139.000000" "8497.254342" "329.063033" "a"
"42" "5.656854" "19872.149505" "572.195112" "48.586382" "2.000000" "288654.500000" "8232.835597" "346.956715" "7.656854" "19872.149505" "572.195112" "48.586382" "4.000000" "288654.500000" "8232.835597" "346.956715" "a"
"43" "2.000000" "16142.819099" "457.262139" "45.296192" "2.000000" "309892.500000" "8547.670190" "356.266038" "2.000000" "16142.819099" "457.262139" "45.296192" "0.500000" "309892.500000" "8547.670190" "356.266038" "a"
"44" "2.000000" "19117.535161" "546.360832" "46.959977" "2.000000" "290380.000000" "8174.796219" "346.158680" "2.000000" "19117.535161" "546.360832" "46.959977" "2.000000" "290380.000000" "8174.796219" "346.158680" "a"
"45" "5.656854" "9126.487153" "244.432300" "36.866085" "2.000000" "418417.500000" "11068.475975" "363.782563" "5.656854" "9126.487153" "244.432300" "36.866085" "2.000000" "418417.500000" "11068.475975" "363.782563" "a"
"46" "2.000000" "1225.994069" "86.062643" "30.841210" "1.000000" "5073.000000" "320.659599" "70.697526" "2.000000" "1225.994069" "86.062643" "30.841210" "1.000000" "5073.000000" "320.659599" "70.697526" "a"
"47" "2.000000" "2789.551627" "113.384005" "30.153312" "2.000000" "22248.000000" "803.849324" "92.032196" "2.000000" "2789.551627" "113.384005" "30.153312" "2.000000" "22248.000000" "803.849324" "92.032196" "a"
"48" "2.000000" "2782.965840" "123.790924" "31.278963" "2.500000" "22244.000000" "922.279368" "107.820126" "2.000000" "2782.965840" "123.790924" "31.278963" "2.500000" "22244.000000" "922.279368" "107.820126" "a"
"49" "4.000000" "2774.723200" "134.690484" "31.155300" "0.000000" "23639.500000" "1122.332731" "124.230946" "4.000000" "2774.723200" "134.690484" "31.155300" "0.000000" "23639.500000" "1122.332731" "124.230946" "a"
"50" "4.000000" "1182.052945" "95.048282" "30.886637" "2.000000" "13836.000000" "580.829919" "93.788686" "4.000000" "1182.052945" "95.048282" "30.886637" "2.000000" "13836.000000" "580.829919" "93.788686" "a"
"51" "2.828427" "1558.545366" "110.806314" "33.251012" "2.000000" "22245.500000" "922.159862" "123.290378" "2.828427" "1558.545366" "110.806314" "33.251012" "2.000000" "22245.500000" "922.159862" "123.290378" "a"
"52" "5.656854" "1884.292621" "113.861736" "32.528955" "2.000000" "22220.000000" "915.660125" "117.277261" "5.656854" "1884.292621" "113.861736" "32.528955" "2.000000" "22220.000000" "915.660125" "117.277261" "a"
"53" "10.828427" "2941.049102" "144.435378" "34.694826" "1.000000" "23629.500000" "1183.214033" "138.415507" "10.828427" "2941.049102" "144.435378" "34.694826" "1.000000" "23629.500000" "1183.214033" "138.415507" "a"
"54" "2.000000" "8960.488361" "222.697596" "32.400492" "2.000000" "132700.000000" "3005.683606" "131.431944" "2.000000" "8960.488361" "222.697596" "32.400492" "2.000000" "132700.000000" "3005.683606" "131.431944" "a"
"55" "4.000000" "21540.559875" "619.193271" "51.464762" "2.000000" "326531.500000" "9204.493292" "368.888407" "3.414214" "21540.559875" "619.193271" "51.464762" "0.500000" "326531.500000" "9204.493292" "368.888407" "a"
"56" "5.656854" "9448.927837" "265.195085" "41.509354" "2.000000" "430844.500000" "11732.997902" "408.772626" "5.656854" "9448.927837" "265.195085" "41.509354" "2.000000" "430844.500000" "11732.997902" "408.772626" "a"
"57" "4.000000" "12778.695966" "305.056762" "27.628391" "6.000000" "69589.000000" "1642.773766" "73.124518" "4.000000" "12778.695966" "305.056762" "27.628391" "6.000000" "69589.000000" "1642.773766" "73.124518" "a"
"58" "2.000000" "9622.249897" "244.327344" "28.171009" "2.000000" "74097.500000" "1804.354255" "95.141133" "5.656854" "9622.249897" "244.327344" "28.171009" "2.000000" "74097.500000" "1804.354255" "95.141133" "a"
